bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,rotation_backend,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
K4V3,randomized Hadamard value bit reduction,0.13379448652267456,0.0020555614028126,3.53896164894104,4,0.008880269713699818,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.3.self_attn,3,hadamard_lm,randhadamard_lm_k4v3,0.9747878313064575,0.05119235813617706,randomized_hadamard,0.05557597428560257,0.0020555614028126,0.004132925532758236,0.9073486328125,3,0.03337428346276283,per_token_head_rms
K4V4,dense random orthogonal non-uniform KV fake quant,0.21778526902198792,0.0018861072603613138,3.216215133666992,4,0.008932402357459068,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.3.self_attn,3,hadamard_lm,randortho_lm_k4v4,0.9844216108322144,0.03271976113319397,random_orthogonal,0.05099446326494217,0.0018861072603613138,0.0035888811107724905,0.912353515625,4,0.009293344803154469,per_token_head_rms
K3V4,dense random orthogonal key bit reduction,0.9770073890686035,0.0072257025167346,11.548526763916016,3,0.03263736516237259,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.3.self_attn,3,hadamard_lm,randortho_lm_k3v4,0.9494473934173584,0.11277996003627777,random_orthogonal,0.1953604817390442,0.0072257025167346,0.01501833088696003,0.837109386920929,4,0.009293344803154469,per_token_head_rms
K4V3,dense random orthogonal value bit reduction,0.21778526902198792,0.0018861072603613138,3.216215133666992,4,0.008932402357459068,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.3.self_attn,3,hadamard_lm,randortho_lm_k4v3,0.975361704826355,0.049786705523729324,random_orthogonal,0.05099446326494217,0.0018861072603613138,0.0035888811107724905,0.912353515625,3,0.03378947079181671,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.4.self_attn,4,fp16,fp16,1.0000324249267578,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,0.11523464322090149,0.009300010278820992,20.250288009643555,4,0.03934658318758011,per_token_head_absmax,absmax_per_token_head,none,model.layers.4.self_attn,4,absmax,absmax_k4v4,0.9394216537475586,0.1593603789806366,none,0.3166182041168213,0.009300010278820992,0.019462672993540764,0.833056628704071,4,0.015833010897040367,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.19771185517311096,0.002006750088185072,4.33336877822876,4,0.008769326843321323,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k4v4,0.9845169186592102,0.030983610078692436,hadamard,0.0683196634054184,0.002006750088185072,0.00365458894520998,0.913012683391571,4,0.009233917109668255,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.7919647097587585,0.007632104679942131,16.002197265625,3,0.03126704320311546,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k3v4,0.9524675607681274,0.10897412151098251,hadamard,0.2598344683647156,0.007632104679942131,0.012665677815675735,0.846606433391571,4,0.009233917109668255,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.19771185517311096,0.002006750088185072,4.33336877822876,4,0.008769326843321323,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k4v3,0.9758673906326294,0.047751814126968384,hadamard,0.0683196634054184,0.002006750088185072,0.00365458894520998,0.913012683391571,3,0.0339827723801136,per_token_head_rms
K4V4,randomized Hadamard non-uniform KV fake quant,0.281034916639328,0.002260468900203705,4.846299648284912,4,0.00880471058189869,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.4.self_attn,4,hadamard_lm,randhadamard_lm_k4v4,0.9836760759353638,0.03256373852491379,randomized_hadamard,0.07695750147104263,0.002260468900203705,0.0036512946244329214,0.9117187261581421,4,0.009559456259012222,per_token_head_rms
