base_k_bits,bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,projection_dim,qjl_seed,residual_bits,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
3,K3,pure Hadamard-LM key reconstruction,0.7736209034919739,0.009421843104064465,40.11298370361328,3,0.031080439686775208,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.10.self_attn,10,hadamard_lm_k3,hadamard_lm_k3,0.9760163426399231,0.05221296846866608,64,10,0,0.6361168026924133,0.009421843104064465,0.1774701625108719,0.6857665777206421,4,0.008979899808764458,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,3.6880199909210205,0.03292911872267723,128.6841583251953,2,0.1041349470615387,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.10.self_attn,10,hadamard_lm_k2,hadamard_lm_k2,0.9359538555145264,0.15077677369117737,64,10,0,2.2232131958007812,0.03292911872267723,0.5221378207206726,0.5122314691543579,4,0.008979899808764458,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,0.7605980038642883,0.0388689823448658,167.3730926513672,2,0.1041349470615387,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.10.self_attn,10,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.9016018509864807,0.25642314553260803,64,10,1,2.62424373626709,0.0388689823448658,0.7667648196220398,0.4804443418979645,4,0.008979899808764458,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,0.49880239367485046,0.012899596244096756,55.489933013916016,3,0.031080439686775208,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.10.self_attn,10,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.9655283689498901,0.07620313763618469,64,10,1,0.8709177374839783,0.012899596244096756,0.26440179347991943,0.6321777105331421,4,0.008979899808764458,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,0.5222585201263428,0.01004835870116949,23.149818420410156,3,0.03156128153204918,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.11.self_attn,11,hadamard_lm_k3,hadamard_lm_k3,0.9933834671974182,0.013928269036114216,64,11,0,0.3659776747226715,0.01004835870116949,0.12740558385849,0.6802978515625,4,0.008939369581639767,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,3.0865330696105957,0.03774470090866089,78.45564270019531,2,0.1065918430685997,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.11.self_attn,11,hadamard_lm_k2,hadamard_lm_k2,0.9777824282646179,0.05424974486231804,64,11,0,1.3747239112854004,0.03774470090866089,0.4114706516265869,0.511401355266571,4,0.008939369581639767,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,-1.0433636903762817,0.0426647923886776,98.36237335205078,2,0.1065918430685997,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.11.self_attn,11,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.9755812287330627,0.058262716978788376,64,11,1,1.5539215803146362,0.0426647923886776,0.510459303855896,0.4931640625,4,0.008939369581639767,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,-0.17574219405651093,0.014516521245241165,33.806907653808594,3,0.03156128153204918,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.11.self_attn,11,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.991386353969574,0.019057733938097954,64,11,1,0.5287154912948608,0.014516521245241165,0.18189258873462677,0.634326159954071,4,0.008939369581639767,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,0.907752275466919,0.011520486325025558,28.927675247192383,3,0.03111995756626129,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.12.self_attn,12,hadamard_lm_k3,hadamard_lm_k3,0.9946739673614502,0.01133046019822359,64,12,0,0.4648701548576355,0.011520486325025558,0.1433981955051422,0.6541748046875,4,0.008771350607275963,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,5.162073135375977,0.04781297966837883,96.83016204833984,2,0.1081046536564827,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.12.self_attn,12,hadamard_lm_k2,hadamard_lm_k2,0.9687324166297913,0.09992613643407822,64,12,0,1.929330587387085,0.04781297966837883,0.5468888282775879,0.4677978456020355,4,0.008771350607275963,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,0.5611053705215454,0.0599471852183342,154.49893188476562,2,0.1081046536564827,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.12.self_attn,12,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.9425395131111145,0.17559097707271576,64,12,1,2.4189653396606445,0.0599471852183342,0.9406435489654541,0.4169677793979645,4,0.008771350607275963,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,-0.20942455530166626,0.015618116594851017,40.289974212646484,3,0.03111995756626129,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.12.self_attn,12,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.9903057813644409,0.02309717796742916,64,12,1,0.630216121673584,0.015618116594851017,0.22016975283622742,0.5864502191543579,4,0.008771350607275963,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,1.2723731994628906,0.012452231720089912,24.215986251831055,3,0.030949879437685013,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.13.self_attn,13,hadamard_lm_k3,hadamard_lm_k3,0.9920607209205627,0.01654689386487007,64,13,0,0.40367060899734497,0.012452231720089912,0.13781696557998657,0.6208740472793579,4,0.008975849486887455,per_token_head_rms
