a_bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_method,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,method,method_key,output_cosine,output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,qjl_method,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_relative_mse,w_bits
4,direct W/A fake quant plus uniform KV fake quant,16.634132385253906,0.10869761556386948,192.98443603515625,4,0.06243286281824112,0.09509150683879852,K4V4,absmax,model.layers.10.self_attn,10,0.25032615661621094,1.6755390167236328,W4A4,direct_absmax,attn_direct_absmax_w4a4_absmax_k4v4,attn_direct_absmax_w4a4_absmax_k4v4,0.4713452160358429,0.9854761362075806,0.7970107396443685,0.42029644797245663,0.09933657944202423,,7.33873176574707,0.10869761556386948,0.4414293169975281,0.531542956829071,4,1.0991199016571045,1.1114388704299927,4
4,rotated uniform W/A fake quant plus rotated KV fake quant,13.981792449951172,0.07268767058849335,118.59054565429688,4,0.010984359309077263,0.01974681206047535,K4V4,hadamard_lm,model.layers.10.self_attn,10,0.6112411618232727,1.7956889867782593,W4A4,rot_absmax,attn_rot_absmax_w4a4_hlm_k4v4,attn_rot_absmax_w4a4_hlm_k4v4,0.8309155106544495,0.5941703915596008,0.954462985197703,0.1065159806360801,0.035338424146175385,,4.9075164794921875,0.07268767058849335,0.335528701543808,0.706298828125,4,0.27322515845298767,0.28255608677864075,4
4,rotated non-uniform W/A and KV fake quant,1.664756417274475,0.003981937654316425,14.434407234191895,4,0.0017818373162299395,0.010408529080450535,K4V4,hadamard_lm,model.layers.10.self_attn,10,0.9512532949447632,0.09827937930822372,W4A4,rot_lm,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.967150092124939,0.0682171881198883,0.9901236097017924,0.020249588104585808,0.002192165469750762,,0.2688409686088562,0.003981937654316425,0.04982392117381096,0.804394543170929,4,0.05677476152777672,0.0658349096775055,4
4,weight and key bit reduction in fake quant,4.7105183601379395,0.015834156423807144,46.229881286621094,3,0.005020397249609232,0.03546156361699104,K3V4,hadamard_lm,model.layers.10.self_attn,10,0.8542919158935547,0.3281919062137604,W3A4,rot_lm,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.887461245059967,0.26458775997161865,0.9761468569437662,0.049250210635364056,0.0058578685857355595,,1.069044828414917,0.015834156423807144,0.2047087848186493,0.6675781011581421,4,0.13687236607074738,0.14572396874427795,3
3,activation and value bit reduction in fake quant,3.0566165447235107,0.006114744581282139,17.078706741333008,4,0.0042608268558979034,0.01291164755821228,K4V3,hadamard_lm,model.layers.10.self_attn,10,0.9115598201751709,0.17054039239883423,W4A3,rot_lm,attn_rot_lm_w4a3_hlm_k4v3,attn_rot_lm_w4a3_hlm_k4v3,0.948951244354248,0.10178790241479874,0.9785712758700053,0.04465049117182692,0.0051878164522349834,,0.4128376841545105,0.006114744581282139,0.06165275722742081,0.797924816608429,3,0.12450283020734787,0.15518900752067566,4
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,model.layers.11.self_attn,11,1.0,0.0,FP16,fp16,fp16,fp16,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,16,0.0,0.0,16
4,direct W/A fake quant plus uniform KV fake quant,9.457232475280762,0.14518558979034424,248.9861297607422,4,0.09882834553718567,0.12222560495138168,K4V4,absmax,model.layers.11.self_attn,11,0.16011637449264526,1.3336257934570312,W4A4,direct_absmax,attn_direct_absmax_w4a4_absmax_k4v4,attn_direct_absmax_w4a4_absmax_k4v4,0.5114595890045166,0.772757351398468,0.7898533344268799,0.3637133985757828,0.17571325600147247,,5.287897109985352,0.14518558979034424,0.4506210684776306,0.4349365234375,4,0.8165985941886902,0.8309144973754883,4
4,rotated uniform W/A fake quant plus rotated KV fake quant,3.109072208404541,0.04377720504999161,92.37767791748047,4,0.018066786229610443,0.02658449299633503,K4V4,hadamard_lm,model.layers.11.self_attn,11,0.6487971544265747,1.2211978435516357,W4A4,rot_absmax,attn_rot_absmax_w4a4_hlm_k4v4,attn_rot_absmax_w4a4_hlm_k4v4,0.8848131895065308,0.27922409772872925,0.9522904356320699,0.11147719621658325,0.04563910514116287,,1.5944374799728394,0.04377720504999161,0.15832604467868805,0.658862292766571,4,0.27072569727897644,0.2782912850379944,4
4,rotated non-uniform W/A and KV fake quant,1.4561529159545898,0.004612192045897245,8.630569458007812,4,0.0027121121529489756,0.011460840702056885,K4V4,hadamard_lm,model.layers.11.self_attn,11,0.9647934436798096,0.07076852023601532,W4A4,rot_lm,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.9804061055183411,0.0401914156973362,0.9916202425956726,0.016987599975739915,0.0034676729701459408,,0.16798359155654907,0.004612192045897245,0.04169224947690964,0.793408215045929,4,0.04478301480412483,0.053603511303663254,4
4,weight and key bit reduction in fake quant,2.4830384254455566,0.0164375938475132,32.150306701660156,3,0.006816302426159382,0.037570636719465256,K3V4,hadamard_lm,model.layers.11.self_attn,11,0.9069706201553345,0.18989180028438568,W3A4,rot_lm,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.939369261264801,0.13096307218074799,0.9807618260383606,0.04039423385014137,0.009024413302540779,,0.5986841320991516,0.0164375938475132,0.13078060746192932,0.663281261920929,4,0.10534198582172394,0.11350696533918381,3
