bits,block_size,codebook,cosine,element_format,int_gemm_friendly,layer,levels,method,mxfp4_group_size,qmax,quantizer_type,relative_mse,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,sqnr_db,weight_finite_ratio,weight_inf_count,weight_kurtosis,weight_max_mean_ratio,weight_mean,weight_nan_count,weight_numel,weight_outlier_ratio_3sigma,weight_std
4,128,gaussian_lloyd_max_standard_normal,0.9953359365463257,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,16,randhadamard_lm,,,non-uniform codebook,0.009302542544901371,polar_randomized_hadamard_blockwise,randomized_hadamard,11,,,,20.313983917236328,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
3,128,gaussian_lloyd_max_standard_normal,0.9828538298606873,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,8,randhadamard_lm,,,non-uniform codebook,0.033991649746894836,polar_randomized_hadamard_blockwise,randomized_hadamard,11,,,,14.686278343200684,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
2,128,gaussian_lloyd_max_standard_normal,0.9403538703918457,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,4,randhadamard_lm,,,non-uniform codebook,0.11572887003421783,polar_randomized_hadamard_blockwise,randomized_hadamard,11,,,,9.365583419799805,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
4,128,gaussian_lloyd_max_standard_normal,0.9952960014343262,,No; dense random rotation is numeric-only in this experiment,model.layers.0.self_attn.v_proj,16,randortho_lm,,,non-uniform codebook,0.00938178040087223,polar_random_orthogonal_blockwise,random_orthogonal,11,,,,20.27714729309082,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
3,128,gaussian_lloyd_max_standard_normal,0.9828351140022278,,No; dense random rotation is numeric-only in this experiment,model.layers.0.self_attn.v_proj,8,randortho_lm,,,non-uniform codebook,0.034034613519907,polar_random_orthogonal_blockwise,random_orthogonal,11,,,,14.680791854858398,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
2,128,gaussian_lloyd_max_standard_normal,0.9402576088905334,,No; dense random rotation is numeric-only in this experiment,model.layers.0.self_attn.v_proj,4,randortho_lm,,,non-uniform codebook,0.11591225862503052,polar_random_orthogonal_blockwise,random_orthogonal,11,,,,9.3587064743042,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
4,128,,0.9911077618598938,,Yes,model.layers.0.self_attn.o_proj,,direct_absmax,,7,uniform integer-like,0.018904568627476692,none,none,,32768,,flat_block_absmax,17.234333038330078,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
3,128,,0.9551518559455872,,Yes,model.layers.0.self_attn.o_proj,,direct_absmax,,3,uniform integer-like,0.0962790697813034,none,none,,32768,,flat_block_absmax,10.164681434631348,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
2,128,,0.7238430976867676,,Yes,model.layers.0.self_attn.o_proj,,direct_absmax,,1,uniform integer-like,0.5911087393760681,none,none,,32768,,flat_block_absmax,2.2833266258239746,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
4,128,,0.994148850440979,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.o_proj,,mxfp4,32,,mxfp4_e2m1_fake_quant,0.015085532329976559,none,none,,131072,E8M0_like_power2,group_power2,18.214393615722656,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
4,128,,0.9937712550163269,,Yes-ish; needs rotation handling,model.layers.0.self_attn.o_proj,,hadamard_absmax,,7,uniform integer-like,0.014306037686765194,polar_hadamard_blockwise,hadamard,11,32768,,last_dim_block_absmax,18.444807052612305,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
3,128,,0.9641034007072449,,Yes-ish; needs rotation handling,model.layers.0.self_attn.o_proj,,hadamard_absmax,,3,uniform integer-like,0.07803121954202652,polar_hadamard_blockwise,hadamard,11,32768,,last_dim_block_absmax,11.077316284179688,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
2,128,,0.7390116453170776,,Yes-ish; needs rotation handling,model.layers.0.self_attn.o_proj,,hadamard_absmax,,1,uniform integer-like,0.5868023633956909,polar_hadamard_blockwise,hadamard,11,32768,,last_dim_block_absmax,2.3150813579559326,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
4,128,gaussian_lloyd_max_standard_normal,0.9958881139755249,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.o_proj,16,hadamard_lm,,,non-uniform codebook,0.009852227754890919,polar_hadamard_blockwise,hadamard,11,,,,20.064655303955078,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
3,128,gaussian_lloyd_max_standard_normal,0.9828232526779175,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.o_proj,8,hadamard_lm,,,non-uniform codebook,0.03565116599202156,polar_hadamard_blockwise,hadamard,11,,,,14.479263305664062,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
2,128,gaussian_lloyd_max_standard_normal,0.9389120936393738,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.o_proj,4,hadamard_lm,,,non-uniform codebook,0.11986009031534195,polar_hadamard_blockwise,hadamard,11,,,,9.21325397491455,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
4,128,gaussian_lloyd_max_standard_normal,0.996196448802948,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.o_proj,16,randhadamard_lm,,,non-uniform codebook,0.00925462692975998,polar_randomized_hadamard_blockwise,randomized_hadamard,11,,,,20.336410522460938,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
3,128,gaussian_lloyd_max_standard_normal,0.983828067779541,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.o_proj,8,randhadamard_lm,,,non-uniform codebook,0.03368883952498436,polar_randomized_hadamard_blockwise,randomized_hadamard,11,,,,14.725139617919922,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
2,128,gaussian_lloyd_max_standard_normal,0.941519558429718,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.o_proj,4,randhadamard_lm,,,non-uniform codebook,0.1149536520242691,polar_randomized_hadamard_blockwise,randomized_hadamard,11,,,,9.39477252960205,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
4,128,gaussian_lloyd_max_standard_normal,0.9961410760879517,,No; dense random rotation is numeric-only in this experiment,model.layers.0.self_attn.o_proj,16,randortho_lm,,,non-uniform codebook,0.00937192514538765,polar_random_orthogonal_blockwise,random_orthogonal,11,,,,20.28171157836914,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
3,128,gaussian_lloyd_max_standard_normal,0.9835625290870667,,No; dense random rotation is numeric-only in this experiment,model.layers.0.self_attn.o_proj,8,randortho_lm,,,non-uniform codebook,0.0341981016099453,polar_random_orthogonal_blockwise,random_orthogonal,11,,,,14.659980773925781,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
2,128,gaussian_lloyd_max_standard_normal,0.9405756592750549,,No; dense random rotation is numeric-only in this experiment,model.layers.0.self_attn.o_proj,4,randortho_lm,,,non-uniform codebook,0.11670717597007751,polar_random_orthogonal_blockwise,random_orthogonal,11,,,,9.329024314880371,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
4,128,,0.9922562837600708,,Yes,model.layers.0.mlp.gate_proj,,direct_absmax,,7,uniform integer-like,0.016330434009432793,none,none,,90112,,flat_block_absmax,17.870023727416992,1.0,0,4.574338912963867,38.06026840209961,-1.965004048543051e-05,0,11534336,0.004749298095703125,0.016550811007618904
3,128,,0.9599217772483826,,Yes,model.layers.0.mlp.gate_proj,,direct_absmax,,3,uniform integer-like,0.0879916101694107,none,none,,90112,,flat_block_absmax,10.555587768554688,1.0,0,4.574338912963867,38.06026840209961,-1.965004048543051e-05,0,11534336,0.004749298095703125,0.016550811007618904
2,128,,0.724079966545105,,Yes,model.layers.0.mlp.gate_proj,,direct_absmax,,1,uniform integer-like,0.6044450998306274,none,none,,90112,,flat_block_absmax,2.1864311695098877,1.0,0,4.574338912963867,38.06026840209961,-1.965004048543051e-05,0,11534336,0.004749298095703125,0.016550811007618904
