a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,down_activation_quantizer_type,down_weight_quantizer_type,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
16,,,FP16,,baseline,0.9999985694885254,,,model.layers.10.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,92.90467834472656,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9460283517837524,uniform integer-like,uniform integer-like,model.layers.10.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.11634264886379242,none,none,,ffn,9.342610359191895,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9705288410186768,uniform integer-like,uniform integer-like,model.layers.10.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.06201043352484703,block_hadamard_last_dim,hadamard,0,ffn,12.075352668762207,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9793062210083008,non-uniform codebook,non-uniform codebook,model.layers.10.mlp,rot_lm,ffn_rot_lm_w4a4,,0.04099193215370178,block_hadamard_last_dim,hadamard,0,ffn,13.873015403747559,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9522216320037842,non-uniform codebook,non-uniform codebook,model.layers.10.mlp,rot_lm,ffn_rot_lm_w3a4,,0.09346617758274078,block_hadamard_last_dim,hadamard,0,ffn,10.293455123901367,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.950896143913269,non-uniform codebook,non-uniform codebook,model.layers.10.mlp,rot_lm,ffn_rot_lm_w4a3,,0.09597692638635635,block_hadamard_last_dim,hadamard,0,ffn,10.178332328796387,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9245312213897705,non-uniform codebook,non-uniform codebook,model.layers.10.mlp,rot_lm,ffn_rot_lm_w3a3,,0.14567916095256805,block_hadamard_last_dim,hadamard,0,ffn,8.366025924682617,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999976754188538,,,model.layers.11.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,93.04633331298828,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9443311095237732,uniform integer-like,uniform integer-like,model.layers.11.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.12075751274824142,none,none,,ffn,9.180858612060547,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9701951146125793,uniform integer-like,uniform integer-like,model.layers.11.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.062435347586870193,block_hadamard_last_dim,hadamard,0,ffn,12.045694351196289,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.979045569896698,non-uniform codebook,non-uniform codebook,model.layers.11.mlp,rot_lm,ffn_rot_lm_w4a4,,0.041483473032712936,block_hadamard_last_dim,hadamard,0,ffn,13.821249008178711,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9523155093193054,non-uniform codebook,non-uniform codebook,model.layers.11.mlp,rot_lm,ffn_rot_lm_w3a4,,0.09327945113182068,block_hadamard_last_dim,hadamard,0,ffn,10.302141189575195,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9515653252601624,non-uniform codebook,non-uniform codebook,model.layers.11.mlp,rot_lm,ffn_rot_lm_w4a3,,0.0945802703499794,block_hadamard_last_dim,hadamard,0,ffn,10.241994857788086,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9254538416862488,non-uniform codebook,non-uniform codebook,model.layers.11.mlp,rot_lm,ffn_rot_lm_w3a3,,0.14383727312088013,block_hadamard_last_dim,hadamard,0,ffn,8.421285629272461,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999977350234985,,,model.layers.12.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,93.29853820800781,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9395150542259216,uniform integer-like,uniform integer-like,model.layers.12.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.13295696675777435,none,none,,ffn,8.76288890838623,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9701707363128662,uniform integer-like,uniform integer-like,model.layers.12.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.06269332766532898,block_hadamard_last_dim,hadamard,0,ffn,12.027787208557129,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9789958596229553,non-uniform codebook,non-uniform codebook,model.layers.12.mlp,rot_lm,ffn_rot_lm_w4a4,,0.04157555475831032,block_hadamard_last_dim,hadamard,0,ffn,13.81161880493164,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9512971639633179,non-uniform codebook,non-uniform codebook,model.layers.12.mlp,rot_lm,ffn_rot_lm_w3a4,,0.09523561596870422,block_hadamard_last_dim,hadamard,0,ffn,10.212006568908691,3,non-uniform codebook,block_rms
