a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9966553449630737,model.layers.0.mlp.down_proj,rot_lm,rot_lm_w4a4,,0.007563743740320206,block_hadamard_last_dim,hadamard,0,linear,21.21263313293457,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9906842112541199,model.layers.0.mlp.down_proj,rot_lm,rot_lm_w3a4,,0.019543100148439407,block_hadamard_last_dim,hadamard,0,linear,17.090065002441406,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9855636954307556,model.layers.0.mlp.down_proj,rot_lm,rot_lm_w4a3,,0.04647607356309891,block_hadamard_last_dim,hadamard,0,linear,13.327705383300781,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9803153872489929,model.layers.0.mlp.down_proj,rot_lm,rot_lm_w3a3,,0.05758659541606903,block_hadamard_last_dim,hadamard,0,linear,12.396785736083984,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W2A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9703688025474548,model.layers.0.mlp.down_proj,rot_lm,rot_lm_w2a4,,0.06006927788257599,block_hadamard_last_dim,hadamard,0,linear,12.213476181030273,2,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.998252272605896,model.layers.1.self_attn.q_proj,direct_absmax,direct_absmax_w4a4,,0.003564073471352458,none,none,,linear,24.480533599853516,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9995231628417969,model.layers.1.self_attn.q_proj,rot_absmax,rot_absmax_w4a4,,0.0009749843738973141,block_hadamard_last_dim,hadamard,0,linear,30.110023498535156,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9996371269226074,model.layers.1.self_attn.q_proj,rot_lm,rot_lm_w4a4,,0.000853840378113091,block_hadamard_last_dim,hadamard,0,linear,30.686233520507812,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9991104602813721,model.layers.1.self_attn.q_proj,rot_lm,rot_lm_w3a4,,0.0027643991634249687,block_hadamard_last_dim,hadamard,0,linear,25.58399200439453,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9991716146469116,model.layers.1.self_attn.q_proj,rot_lm,rot_lm_w4a3,,0.0021189514081925154,block_hadamard_last_dim,hadamard,0,linear,26.738788604736328,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9986370205879211,model.layers.1.self_attn.q_proj,rot_lm,rot_lm_w3a3,,0.0044485959224402905,block_hadamard_last_dim,hadamard,0,linear,23.517770767211914,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W2A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9971681833267212,model.layers.1.self_attn.q_proj,rot_lm,rot_lm_w2a4,,0.016574524343013763,block_hadamard_last_dim,hadamard,0,linear,17.80558967590332,2,non-uniform codebook,block_rms
