bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_block_size,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,rotation_backend,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
K4V4,rotated non-uniform KV fake quant,0.15053310990333557,0.002929733134806156,5.130081653594971,4,0.00858524814248085,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.9.self_attn,9,hadamard_lm,hadamard_lm_k4v4,0.9861762523651123,0.029307013377547264,hadamard,0.08051159232854843,0.002929733134806156,0.010230757296085358,0.9246826171875,4,0.009116767905652523,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.21227622032165527,0.002568247728049755,4.471909046173096,4,0.00869718287140131,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.9.self_attn,9,hadamard_lm,hadamard_lm_k4v4_h32,0.9876890182495117,0.02508782409131527,hadamard,0.07057765871286392,0.002568247728049755,0.008485483005642891,0.9293212890625,4,0.009156408719718456,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.48614248633384705,0.010507592000067234,18.244155883789062,3,0.030568702146410942,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.9.self_attn,9,hadamard_lm,hadamard_lm_k3v4,0.9610202312469482,0.08819272369146347,hadamard,0.28875768184661865,0.010507592000067234,0.0327930822968483,0.868090808391571,4,0.009116767905652523,per_token_head_rms
K3V4,head-internal H32 key bit reduction,0.19832149147987366,0.009350040927529335,16.405290603637695,3,0.0312635600566864,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.9.self_attn,9,hadamard_lm,hadamard_lm_k3v4_h32,0.9553192853927612,0.09235679358243942,hadamard,0.25694718956947327,0.009350040927529335,0.0328560397028923,0.873217761516571,4,0.009156408719718456,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.10.self_attn,10,fp16,fp16,1.0000215768814087,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,0.1996103823184967,0.0038727535866200924,5.956256866455078,4,0.00862184725701809,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.10.self_attn,10,hadamard_lm,hadamard_lm_k4v4,0.9860746264457703,0.028245504945516586,hadamard,0.09368908405303955,0.0038727535866200924,0.010647564195096493,0.922290027141571,4,0.009138676337897778,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.2492169588804245,0.0031554410234093666,4.823392391204834,4,0.008920217864215374,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.10.self_attn,10,hadamard_lm,hadamard_lm_k4v4_h32,0.9849666953086853,0.03072589449584484,hadamard,0.07633596658706665,0.0031554410234093666,0.009383711032569408,0.928881824016571,4,0.00900641642510891,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.6650634407997131,0.01344887726008892,20.380298614501953,3,0.03098181076347828,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.10.self_attn,10,hadamard_lm,hadamard_lm_k3v4,0.949884295463562,0.11641283333301544,hadamard,0.3253532648086548,0.01344887726008892,0.041133612394332886,0.865039050579071,4,0.009138676337897778,per_token_head_rms
K3V4,head-internal H32 key bit reduction,1.0397717952728271,0.012502900324761868,18.2768497467041,3,0.032970674335956573,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.10.self_attn,10,hadamard_lm,hadamard_lm_k3v4_h32,0.9525133967399597,0.12478562444448471,hadamard,0.30246832966804504,0.012502900324761868,0.04010073095560074,0.873706042766571,4,0.00900641642510891,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.11.self_attn,11,fp16,fp16,1.0000296831130981,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,0.14538908004760742,0.002833923790603876,4.665687561035156,4,0.008795862086117268,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.11.self_attn,11,hadamard_lm,hadamard_lm_k4v4,0.9875122308731079,0.02585574984550476,hadamard,0.07323165237903595,0.002833923790603876,0.009306993335485458,0.9237060546875,4,0.009119578637182713,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.2033473253250122,0.0026232916861772537,4.297126293182373,4,0.008622420020401478,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.11.self_attn,11,hadamard_lm,hadamard_lm_k4v4_h32,0.9898002743721008,0.02041723020374775,hadamard,0.06778869032859802,0.0026232916861772537,0.007853898219764233,0.927563488483429,4,0.0090690478682518,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.584944486618042,0.011074758134782314,17.97359848022461,3,0.0315520241856575,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.11.self_attn,11,hadamard_lm,hadamard_lm_k3v4,0.9618398547172546,0.08422239869832993,hadamard,0.2861837148666382,0.011074758134782314,0.0376124233007431,0.8595215082168579,4,0.009119578637182713,per_token_head_rms
K3V4,head-internal H32 key bit reduction,0.6036440134048462,0.010420393198728561,16.869163513183594,3,0.030851474031805992,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.11.self_attn,11,hadamard_lm,hadamard_lm_k3v4_h32,0.9601290225982666,0.08292441070079803,hadamard,0.26927420496940613,0.010420393198728561,0.03639834374189377,0.8626708984375,4,0.0090690478682518,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.12.self_attn,12,fp16,fp16,1.0000232458114624,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,0.12848983705043793,0.0038615125231444836,4.06593656539917,4,0.00859830155968666,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.12.self_attn,12,hadamard_lm,hadamard_lm_k4v4,0.9898895621299744,0.020547471940517426,hadamard,0.06378822028636932,0.0038615125231444836,0.011061588302254677,0.921215832233429,4,0.009299787692725658,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.2035088837146759,0.0038037304766476154,3.9799420833587646,4,0.00873946025967598,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.12.self_attn,12,hadamard_lm,hadamard_lm_k4v4_h32,0.9904211163520813,0.01957837864756584,hadamard,0.06283371895551682,0.0038037304766476154,0.01109034288674593,0.9168945550918579,4,0.00941445678472519,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.42344534397125244,0.014370670542120934,15.013572692871094,3,0.030546531081199646,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.12.self_attn,12,hadamard_lm,hadamard_lm_k3v4,0.9695812463760376,0.0659279152750969,hadamard,0.2373887151479721,0.014370670542120934,0.041380368173122406,0.860522449016571,4,0.009299787692725658,per_token_head_rms
K3V4,head-internal H32 key bit reduction,0.6102501749992371,0.014492419548332691,14.949187278747559,3,0.0315980538725853,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.12.self_attn,12,hadamard_lm,hadamard_lm_k3v4_h32,0.9678266644477844,0.06994759291410446,hadamard,0.23939988017082214,0.014492419548332691,0.04506208747625351,0.851757824420929,4,0.00941445678472519,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.13.self_attn,13,fp16,fp16,1.0000190734863281,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,0.21016579866409302,0.004328914452344179,5.087456703186035,4,0.008685086853802204,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.13.self_attn,13,hadamard_lm,hadamard_lm_k4v4,0.9877066612243652,0.025191444903612137,hadamard,0.08018166571855545,0.004328914452344179,0.015749070793390274,0.918212890625,4,0.009436738677322865,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.12251928448677063,0.004013844300061464,4.743122100830078,4,0.008876519277691841,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.13.self_attn,13,hadamard_lm,hadamard_lm_k4v4_h32,0.9878702163696289,0.02494170516729355,hadamard,0.07434582710266113,0.004013844300061464,0.01533862017095089,0.9223388433456421,4,0.009081513620913029,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.6660556197166443,0.016303297132253647,18.882793426513672,3,0.03134928643703461,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.13.self_attn,13,hadamard_lm,hadamard_lm_k3v4,0.9607541561126709,0.08265317231416702,hadamard,0.3019753694534302,0.016303297132253647,0.055628325790166855,0.8541504144668579,4,0.009436738677322865,per_token_head_rms
K3V4,head-internal H32 key bit reduction,0.7700262069702148,0.01660226285457611,19.087888717651367,3,0.03187871351838112,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.13.self_attn,13,hadamard_lm,hadamard_lm_k3v4_h32,0.9632814526557922,0.07952030003070831,hadamard,0.30751293897628784,0.01660226285457611,0.056860730051994324,0.852368175983429,4,0.009081513620913029,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.14.self_attn,14,fp16,fp16,1.0000107288360596,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,0.15886440873146057,0.004100494086742401,5.88220739364624,4,0.008722728118300438,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.14.self_attn,14,hadamard_lm,hadamard_lm_k4v4,0.9877882599830627,0.024905351921916008,hadamard,0.09230384230613708,0.004100494086742401,0.01601836085319519,0.9168701171875,4,0.00935897883027792,per_token_head_rms
