bits,block_size,codebook,cosine,element_format,int_gemm_friendly,layer,levels,method,mxfp4_group_size,quantizer_type,relative_mse,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,sqnr_db,weight_finite_ratio,weight_inf_count,weight_kurtosis,weight_max_mean_ratio,weight_mean,weight_nan_count,weight_numel,weight_outlier_ratio_3sigma,weight_std
4,64,gaussian_lloyd_max_standard_normal,0.9978311061859131,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.mlp.down_proj,16,hadamard_lm,,non-uniform codebook,0.009177454747259617,polar_hadamard_blockwise,hadamard,11,,,,20.37277603149414,1.0,0,4.5576605796813965,60.40662384033203,5.394591880758526e-06,0,11534336,0.0030215869192034006,0.017433801665902138
3,64,gaussian_lloyd_max_standard_normal,0.9855747222900391,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.mlp.down_proj,8,hadamard_lm,,non-uniform codebook,0.03342580422759056,polar_hadamard_blockwise,hadamard,11,,,,14.75918197631836,1.0,0,4.5576605796813965,60.40662384033203,5.394591880758526e-06,0,11534336,0.0030215869192034006,0.017433801665902138
4,64,,0.9939483404159546,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.3.self_attn.q_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.013983204029500484,none,none,,131072,E8M0_like_power2,group_power2,18.54393196105957,1.0,0,4.245247840881348,15.978888511657715,-1.7940117686521262e-05,0,4194304,0.008192777633666992,0.027062080800533295
4,64,,0.9941198229789734,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.3.self_attn.q_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013160035014152527,polar_hadamard_blockwise,hadamard,11,131072,E8M0_like_power2,group_power2,18.80742835998535,1.0,0,4.245247840881348,15.978888511657715,-1.7940117686521262e-05,0,4194304,0.008192777633666992,0.027062080800533295
4,64,gaussian_lloyd_max_standard_normal,0.9961233139038086,,No; needs LUT/dequant or codebook-aware MAC,model.layers.3.self_attn.q_proj,16,hadamard_lm,,non-uniform codebook,0.009157749824225903,polar_hadamard_blockwise,hadamard,11,,,,20.38211441040039,1.0,0,4.245247840881348,15.978888511657715,-1.7940117686521262e-05,0,4194304,0.008192777633666992,0.027062080800533295
3,64,gaussian_lloyd_max_standard_normal,0.9838951826095581,,No; needs LUT/dequant or codebook-aware MAC,model.layers.3.self_attn.q_proj,8,hadamard_lm,,non-uniform codebook,0.03334299847483635,polar_hadamard_blockwise,hadamard,11,,,,14.769953727722168,1.0,0,4.245247840881348,15.978888511657715,-1.7940117686521262e-05,0,4194304,0.008192777633666992,0.027062080800533295
4,64,,0.9929138422012329,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.3.self_attn.k_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.014175881631672382,none,none,,16384,E8M0_like_power2,group_power2,18.484498977661133,1.0,0,4.531641006469727,12.061260223388672,7.859002653276548e-05,0,524288,0.009782791137695312,0.04768660292029381
4,64,,0.9934223890304565,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.3.self_attn.k_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013154788874089718,polar_hadamard_blockwise,hadamard,11,16384,E8M0_like_power2,group_power2,18.809162139892578,1.0,0,4.531641006469727,12.061260223388672,7.859002653276548e-05,0,524288,0.009782791137695312,0.04768660292029381
4,64,gaussian_lloyd_max_standard_normal,0.9954436421394348,,No; needs LUT/dequant or codebook-aware MAC,model.layers.3.self_attn.k_proj,16,hadamard_lm,,non-uniform codebook,0.00912553258240223,polar_hadamard_blockwise,hadamard,11,,,,20.397417068481445,1.0,0,4.531641006469727,12.061260223388672,7.859002653276548e-05,0,524288,0.009782791137695312,0.04768660292029381
3,64,gaussian_lloyd_max_standard_normal,0.9832502603530884,,No; needs LUT/dequant or codebook-aware MAC,model.layers.3.self_attn.k_proj,8,hadamard_lm,,non-uniform codebook,0.033254075795412064,polar_hadamard_blockwise,hadamard,11,,,,14.781551361083984,1.0,0,4.531641006469727,12.061260223388672,7.859002653276548e-05,0,524288,0.009782791137695312,0.04768660292029381
4,64,,0.992972195148468,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.3.self_attn.v_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.014024744741618633,none,none,,16384,E8M0_like_power2,group_power2,18.531051635742188,1.0,0,3.2501673698425293,9.278438568115234,-3.2152474886970595e-06,0,524288,0.0040912628173828125,0.011424575932323933
