bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
K4V4,uniform fake quant KV baseline,0.27529287338256836,0.007663580123335123,32.218345642089844,4,0.03912712261080742,per_token_head_absmax,absmax_per_token_head,none,model.layers.4.self_attn,4,absmax,absmax_k4v4,0.9561846256256104,0.09127064049243927,0.5045958161354065,0.007663580123335123,0.2196514904499054,0.716967761516571,4,0.01676548831164837,per_token_head_absmax
K3V4,uniform fake quant with lower key bits,2.431777000427246,0.02802002802491188,112.16214752197266,3,0.1908869594335556,per_token_head_absmax,absmax_per_token_head,none,model.layers.4.self_attn,4,absmax,absmax_k3v4,0.8938573598861694,0.2289765477180481,1.8449325561523438,0.02802002802491188,0.6559591293334961,0.5459228754043579,4,0.01676548831164837,per_token_head_absmax
K4V3,uniform fake quant with lower value bits,0.27529287338256836,0.007663580123335123,32.218345642089844,4,0.03912712261080742,per_token_head_absmax,absmax_per_token_head,none,model.layers.4.self_attn,4,absmax,absmax_k4v3,0.9441797137260437,0.11943227797746658,0.5045958161354065,0.007663580123335123,0.2196514904499054,0.716967761516571,3,0.0930359959602356,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.39048343896865845,0.0017397418851032853,7.178750514984131,4,0.00880257599055767,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k4v4,0.9897481799125671,0.020423540845513344,0.11455044150352478,0.0017397418851032853,0.04576979577541351,0.8575683832168579,4,0.009286091662943363,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,1.0082709789276123,0.007368853781372309,30.035551071166992,3,0.031858544796705246,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k3v4,0.9703860878944397,0.059103723615407944,0.4851900339126587,0.007368853781372309,0.1753406673669815,0.73388671875,4,0.009286091662943363,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.39048343896865845,0.0017397418851032853,7.178750514984131,4,0.00880257599055767,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k4v3,0.9856723546981812,0.02856689691543579,0.11455044150352478,0.0017397418851032853,0.04576979577541351,0.8575683832168579,3,0.033761512488126755,per_token_head_rms
K3V3,aggressive rotated non-uniform KV fake quant,1.0082709789276123,0.007368853781372309,30.035551071166992,3,0.031858544796705246,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k3v3,0.9664556980133057,0.06617780029773712,0.4851900339126587,0.007368853781372309,0.1753406673669815,0.73388671875,3,0.033761512488126755,per_token_head_rms
K2V4,key 2-bit failure boundary,4.744683265686035,0.026366863399744034,88.59727478027344,2,0.10702714323997498,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k2v4,0.9130880832672119,0.1785547435283661,1.736082673072815,0.026366863399744034,0.5329262018203735,0.5731201171875,4,0.009286091662943363,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.5.self_attn,5,fp16,fp16,1.00001060962677,0.0,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,0.42461350560188293,0.00859365426003933,35.92073440551758,4,0.043879758566617966,per_token_head_absmax,absmax_per_token_head,none,model.layers.5.self_attn,5,absmax,absmax_k4v4,0.9715673923492432,0.057282157242298126,0.5640786290168762,0.00859365426003933,0.2415168583393097,0.659375011920929,4,0.016407892107963562,per_token_head_absmax
K3V4,uniform fake quant with lower key bits,-0.6518080234527588,0.03904949128627777,163.61790466308594,3,0.20366206765174866,per_token_head_absmax,absmax_per_token_head,none,model.layers.5.self_attn,5,absmax,absmax_k3v4,0.9086258411407471,0.20354299247264862,2.5631682872772217,0.03904949128627777,0.7569433450698853,0.47358399629592896,4,0.016407892107963562,per_token_head_absmax
K4V3,uniform fake quant with lower value bits,0.42461350560188293,0.00859365426003933,35.92073440551758,4,0.043879758566617966,per_token_head_absmax,absmax_per_token_head,none,model.layers.5.self_attn,5,absmax,absmax_k4v3,0.9638913869857788,0.07304719090461731,0.5640786290168762,0.00859365426003933,0.2415168583393097,0.659375011920929,3,0.08232659846544266,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.28688153624534607,0.0017943556886166334,7.455597400665283,4,0.00853888038545847,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k4v4,0.9936861991882324,0.012661253102123737,0.11777965724468231,0.0017943556886166334,0.04919055476784706,0.8219970464706421,4,0.009073921479284763,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.8612872362136841,0.006363299209624529,25.989728927612305,3,0.03026793897151947,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k3v4,0.9760158658027649,0.04768868535757065,0.41768041253089905,0.006363299209624529,0.1851758360862732,0.68359375,4,0.009073921479284763,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.28688153624534607,0.0017943556886166334,7.455597400665283,4,0.00853888038545847,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k4v3,0.9908743500709534,0.01820795051753521,0.11777965724468231,0.0017943556886166334,0.04919055476784706,0.8219970464706421,3,0.032834939658641815,per_token_head_rms
K3V3,aggressive rotated non-uniform KV fake quant,0.8612872362136841,0.006363299209624529,25.989728927612305,3,0.03026793897151947,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k3v3,0.9740797877311707,0.051194366067647934,0.41768041253089905,0.006363299209624529,0.1851758360862732,0.68359375,3,0.032834939658641815,per_token_head_rms
K2V4,key 2-bit failure boundary,4.509396553039551,0.025015804916620255,84.75408172607422,2,0.10253220051527023,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k2v4,0.9333528876304626,0.13037621974945068,1.6420116424560547,0.025015804916620255,0.49293339252471924,0.538818359375,4,0.009073921479284763,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.6.self_attn,6,fp16,fp16,1.0000077486038208,0.0,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,0.21352967619895935,0.007822387851774693,28.07929039001465,4,0.03957348316907883,per_token_head_absmax,absmax_per_token_head,none,model.layers.6.self_attn,6,absmax,absmax_k4v4,0.9835677146911621,0.034465983510017395,0.43945130705833435,0.007822387851774693,0.19563086330890656,0.690112292766571,4,0.02066905051469803,per_token_head_absmax
K3V4,uniform fake quant with lower key bits,3.0867176055908203,0.035539817065000534,118.25325775146484,3,0.18647298216819763,per_token_head_absmax,absmax_per_token_head,none,model.layers.6.self_attn,6,absmax,absmax_k3v4,0.9529643058776855,0.09668032824993134,1.9965795278549194,0.035539817065000534,0.6262630224227905,0.4959960877895355,4,0.02066905051469803,per_token_head_absmax
K4V3,uniform fake quant with lower value bits,0.21352967619895935,0.007822387851774693,28.07929039001465,4,0.03957348316907883,per_token_head_absmax,absmax_per_token_head,none,model.layers.6.self_attn,6,absmax,absmax_k4v3,0.9728312492370605,0.05707820877432823,0.43945130705833435,0.007822387851774693,0.19563086330890656,0.690112292766571,3,0.11176005005836487,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.1936408281326294,0.001711582182906568,6.116384983062744,4,0.008691812865436077,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.6.self_attn,6,hadamard_lm,hadamard_lm_k4v4,0.9961714148521423,0.007657184265553951,0.09615439921617508,0.001711582182906568,0.03806164488196373,0.8516601324081421,4,0.008990591391921043,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.9154723286628723,0.006610747892409563,22.930421829223633,3,0.03084670752286911,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.6.self_attn,6,hadamard_lm,hadamard_lm_k3v4,0.9901281595230103,0.01969679817557335,0.3713829815387726,0.006610747892409563,0.1535240113735199,0.7131592035293579,4,0.008990591391921043,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.1936408281326294,0.001711582182906568,6.116384983062744,4,0.008691812865436077,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.6.self_attn,6,hadamard_lm,hadamard_lm_k4v3,0.9938413500785828,0.01260615885257721,0.09615439921617508,0.001711582182906568,0.03806164488196373,0.8516601324081421,3,0.032973699271678925,per_token_head_rms
