activation_bits,bits,block_size,codebook,compute_interpretation,cosine,element_format,layer_index,levels,method,mxfp4_group_size,original_finite_ratio,original_inf_count,original_kurtosis,original_max_mean_ratio,original_mean,original_nan_count,original_numel,original_outlier_ratio_3sigma,original_std,quantizer_type,relative_mse,rotated_finite_ratio,rotated_inf_count,rotated_kurtosis,rotated_max_mean_ratio,rotated_mean,rotated_nan_count,rotated_numel,rotated_outlier_ratio_3sigma,rotated_std,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,site,sqnr_db
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.994196355342865,E2M1,18,,rot_mxfp4,32,1.0,0,49.066524505615234,38.67413330078125,0.0025664332788437605,0,1048576,0.01122283935546875,0.5183024406433105,mxfp4_e2m1_fake_quant,0.012526566162705421,1.0,0,4.621170520782471,11.62392807006836,-0.001274970592930913,0,1048576,0.009970664978027344,0.5183072090148926,block_hadamard_last_dim,hadamard,11,32768,E8M0_like_power2,group_power2,attn_input,19.021678924560547
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9958673119544983,,18,16,rot_lm,,1.0,0,49.066524505615234,38.67413330078125,0.0025664332788437605,0,1048576,0.01122283935546875,0.5183024406433105,non-uniform codebook,0.008430501446127892,1.0,0,4.621170520782471,11.62392807006836,-0.001274970592930913,0,1048576,0.009970664978027344,0.5183072090148926,block_hadamard_last_dim,hadamard,11,,,block_rms,attn_input,20.741464614868164
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9847411513328552,,18,8,rot_lm,,1.0,0,49.066524505615234,38.67413330078125,0.0025664332788437605,0,1048576,0.01122283935546875,0.5183024406433105,non-uniform codebook,0.030599966645240784,1.0,0,4.621170520782471,11.62392807006836,-0.001274970592930913,0,1048576,0.009970664978027344,0.5183072090148926,block_hadamard_last_dim,hadamard,11,,,block_rms,attn_input,15.142789840698242
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9872850179672241,E2M1,18,,mxfp4,32,1.0,0,14.257454872131348,15.81081485748291,0.027453910559415817,0,1048576,0.024453163146972656,1.2225847244262695,mxfp4_e2m1_fake_quant,0.02558828704059124,1.0,0,2.964979887008667,6.662577152252197,-0.006343872752040625,0,1048576,0.002838134765625,1.222878098487854,none,none,,32768,E8M0_like_power2,group_power2,q_proj_out,15.919588088989258
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9939987659454346,E2M1,18,,rot_mxfp4,32,1.0,0,14.257454872131348,15.81081485748291,0.027453910559415817,0,1048576,0.024453163146972656,1.2225847244262695,mxfp4_e2m1_fake_quant,0.01273889560252428,1.0,0,2.964979887008667,6.662577152252197,-0.006343872752040625,0,1048576,0.002838134765625,1.222878098487854,block_hadamard_last_dim,hadamard,11,32768,E8M0_like_power2,group_power2,q_proj_out,18.94868278503418
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9959053993225098,,18,16,rot_lm,,1.0,0,14.257454872131348,15.81081485748291,0.027453910559415817,0,1048576,0.024453163146972656,1.2225847244262695,non-uniform codebook,0.008468955755233765,1.0,0,2.964979887008667,6.662577152252197,-0.006343872752040625,0,1048576,0.002838134765625,1.222878098487854,block_hadamard_last_dim,hadamard,11,,,block_rms,q_proj_out,20.72170066833496
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9849526882171631,,18,8,rot_lm,,1.0,0,14.257454872131348,15.81081485748291,0.027453910559415817,0,1048576,0.024453163146972656,1.2225847244262695,non-uniform codebook,0.03032045066356659,1.0,0,2.964979887008667,6.662577152252197,-0.006343872752040625,0,1048576,0.002838134765625,1.222878098487854,block_hadamard_last_dim,hadamard,11,,,block_rms,q_proj_out,15.18264389038086
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.988436758518219,E2M1,18,,mxfp4,32,1.0,0,10.808913230895996,11.433526992797852,-0.20793059468269348,0,131072,0.01641845703125,2.5350615978240967,mxfp4_e2m1_fake_quant,0.023231441155076027,1.0,0,3.2580788135528564,5.36790657043457,-0.013690732419490814,0,131072,0.00463104248046875,2.54353666305542,none,none,,4096,E8M0_like_power2,group_power2,k_proj_out,16.3392391204834
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.993520975112915,E2M1,18,,rot_mxfp4,32,1.0,0,10.808913230895996,11.433526992797852,-0.20793059468269348,0,131072,0.01641845703125,2.5350615978240967,mxfp4_e2m1_fake_quant,0.01295523438602686,1.0,0,3.2580788135528564,5.36790657043457,-0.013690732419490814,0,131072,0.00463104248046875,2.54353666305542,block_hadamard_last_dim,hadamard,11,4096,E8M0_like_power2,group_power2,k_proj_out,18.875547409057617
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.995688796043396,,18,16,rot_lm,,1.0,0,10.808913230895996,11.433526992797852,-0.20793059468269348,0,131072,0.01641845703125,2.5350615978240967,non-uniform codebook,0.008610525168478489,1.0,0,3.2580788135528564,5.36790657043457,-0.013690732419490814,0,131072,0.00463104248046875,2.54353666305542,block_hadamard_last_dim,hadamard,11,,,block_rms,k_proj_out,20.649703979492188
