a_bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_method,kv_rotation_backend,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,linear_rotation_backend,method,method_key,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
4,MXFP4 W4A4 linear fake quant plus HLM K4V4,0.4039478600025177,0.018731199204921722,4.905566692352295,4,0.0077926162630319595,0.017205484211444855,K4V4,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.9409933090209961,0.11475428938865662,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,0.8688568472862244,0.2667262852191925,0.8688550591468811,0.2667250633239746,0.9785792827606201,0.04265542017916838,0.00990249589085579,0.07919907569885254,0.018731199204921722,0.021541226655244827,0.902514636516571,4,0.1102711483836174,o_proj_absorb,0.11827714741230011,4
4,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.29437947273254395,0.009877882897853851,2.5863373279571533,4,0.0013033893192186952,0.010557049885392189,K4V4,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.9383899569511414,0.12176217883825302,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.7816293239593506,0.564850389957428,0.7816268801689148,0.5648524761199951,0.9817306399345398,0.03831980187290659,0.003087820718064904,0.041765570640563965,0.009877882897853851,0.010948712937533855,0.932055652141571,4,0.11056819558143616,o_proj_absorb,0.11941643059253693,4
4,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,0.8945591449737549,0.03399759903550148,8.399657249450684,3,0.003911172039806843,0.03782270476222038,K3V4,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.8046771287918091,0.3817242681980133,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.5488412976264954,1.6882236003875732,0.5488404631614685,1.688226342201233,0.9592059850692749,0.0913283343737324,0.007843583822250366,0.14374832808971405,0.03399759903550148,0.035617645829916,0.8787841796875,4,0.26223024725914,o_proj_absorb,0.2699921131134033,3
4,randomized Hadamard LM W4A4 plus randomized HLM K4V4,0.09048014879226685,0.009130126796662807,2.462463855743408,4,0.0012908688513562083,0.010496982373297215,K4V4,hadamard_lm,randomized_hadamard,model.layers.2.self_attn,2,0.942115306854248,0.11691834777593613,W4A4,randhadamard_lm,randomized_hadamard,attn_randhadamard_lm_w4a4_hlm_k4v4,attn_randhadamard_lm_w4a4_hlm_k4v4,0.7747868299484253,0.6057037711143494,0.7747851610183716,0.6057040691375732,0.9820085366566976,0.038140691234730184,0.0030401519034057856,0.03860391303896904,0.009130126796662807,0.010714860633015633,0.9302734136581421,4,0.11009105294942856,o_proj_absorb,0.11785735934972763,4
4,randomized Hadamard LM W3A4 plus randomized HLM K3V4,1.0744988918304443,0.032831501215696335,7.729793548583984,3,0.003889634506776929,0.037413619458675385,K3V4,hadamard_lm,randomized_hadamard,model.layers.2.self_attn,2,0.818283200263977,0.35815536975860596,W3A4,randhadamard_lm,randomized_hadamard,attn_randhadamard_lm_w3a4_hlm_k3v4,attn_randhadamard_lm_w3a4_hlm_k3v4,0.558095395565033,1.5925675630569458,0.558093786239624,1.5925724506378174,0.960252026716868,0.08912446171355744,0.008121120743453503,0.13881783187389374,0.032831501215696335,0.03594671189785004,0.8798583745956421,4,0.2553626298904419,o_proj_absorb,0.2618215084075928,3
4,dense random orthogonal LM W4A4 plus random-orthogonal K4V4,0.3571050763130188,0.01056444551795721,2.731259346008301,4,0.0014816165203228593,0.010336214676499367,K4V4,hadamard_lm,random_orthogonal,model.layers.2.self_attn,2,0.931267499923706,0.13534137606620789,W4A4,randortho_lm,random_orthogonal,attn_randortho_lm_w4a4_hlm_k4v4,attn_randortho_lm_w4a4_hlm_k4v4,0.7761176228523254,0.5939577221870422,0.7761157155036926,0.5939585566520691,0.9806514183680216,0.040778346941806376,0.0034724550787359476,0.04466848820447922,0.01056444551795721,0.0122505659237504,0.921948254108429,4,0.11738096922636032,o_proj_absorb,0.1262286752462387,4
4,dense random orthogonal LM W3A4 plus random-orthogonal K3V4,1.1790883541107178,0.036706771701574326,8.542757034301758,3,0.004674970638006926,0.03777458518743515,K3V4,hadamard_lm,random_orthogonal,model.layers.2.self_attn,2,0.8043690919876099,0.38114261627197266,W3A4,randortho_lm,random_orthogonal,attn_randortho_lm_w3a4_hlm_k3v4,attn_randortho_lm_w3a4_hlm_k3v4,0.5231533646583557,1.897425889968872,0.523151695728302,1.8974324464797974,0.9576749602953593,0.09638602736716469,0.008951789699494839,0.1552032232284546,0.036706771701574326,0.040438212454319,0.8730224370956421,4,0.2755313217639923,o_proj_absorb,0.28348028659820557,3
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,,model.layers.3.self_attn,3,1.0,0.0,FP16,fp16,,fp16,fp16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
16,KV-only HLM K4V4 with value rotation absorbed into o_proj,0.26900938153266907,0.0020436416380107403,3.4638707637786865,4,4.2876070693864676e-08,0.008826741017401218,K4V4,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.9879389405250549,0.026436813175678253,FP16,fp16,none,attn_kv_hlm_k4v4,attn_kv_hlm_k4v4,0.9829403162002563,0.03592412918806076,0.982938289642334,0.035923901945352554,1.0000009735425313,4.297081801496461e-08,4.329424996285525e-08,0.05525369942188263,0.0020436416380107403,0.004065824672579765,0.9112548828125,4,4.27421333881739e-08,o_proj_absorb,0.00888265110552311,16
4,MXFP4 W4A4 linear fake quant plus HLM K4V4,2.0742759704589844,0.00721535412594676,8.18254280090332,4,0.006044476293027401,0.014755775220692158,K4V4,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.947778046131134,0.1141161322593689,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,0.9335323572158813,0.1557672917842865,0.9335309267044067,0.15576575696468353,0.9901997645696005,0.019814895155529182,0.006139678880572319,0.1950806975364685,0.00721535412594676,0.012335273437201977,0.877148449420929,4,0.047260530292987823,o_proj_absorb,0.055509909987449646,4
