a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
3,non-uniform codebook,block_rms,W4A3,128,randomized Hadamard + non-uniform codebook fake quant,0.998316764831543,model.layers.0.self_attn.o_proj,randhadamard_lm,randhadamard_lm_w4a3,,0.003932218533009291,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,24.05362319946289,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W4A4,128,dense random orthogonal + non-uniform codebook fake quant,0.9993095993995667,model.layers.0.self_attn.o_proj,randortho_lm,randortho_lm_w4a4,,0.0018121349858120084,block_random_orthogonal_last_dim,random_orthogonal,11,linear,27.418094635009766,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,dense random orthogonal + non-uniform codebook fake quant,0.9982540607452393,model.layers.0.self_attn.o_proj,randortho_lm,randortho_lm_w3a4,,0.006262072827666998,block_random_orthogonal_last_dim,random_orthogonal,11,linear,22.032817840576172,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,dense random orthogonal + non-uniform codebook fake quant,0.9983170032501221,model.layers.0.self_attn.o_proj,randortho_lm,randortho_lm_w4a3,,0.005193618126213551,block_random_orthogonal_last_dim,random_orthogonal,11,linear,22.845298767089844,4,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9863736629486084,model.layers.0.mlp.gate_proj,direct_absmax,direct_absmax_w4a4,,0.027301283553242683,none,none,,linear,15.638169288635254,4,uniform integer-like,last_dim_block_absmax
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9905369281768799,model.layers.0.mlp.gate_proj,mxfp4,mxfp4_w4a4,32,0.018947787582874298,none,none,,linear,17.224414825439453,4,mxfp4_e2m1_fake_quant,group_power2
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9958207607269287,model.layers.0.mlp.gate_proj,rot_absmax,rot_absmax_w4a4,,0.008514177985489368,block_hadamard_last_dim,hadamard,11,linear,20.69857406616211,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9970038533210754,model.layers.0.mlp.gate_proj,rot_lm,rot_lm_w4a4,,0.006125675048679113,block_hadamard_last_dim,hadamard,11,linear,22.128459930419922,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9927345514297485,model.layers.0.mlp.gate_proj,rot_lm,rot_lm_w3a4,,0.014918646775186062,block_hadamard_last_dim,hadamard,11,linear,18.262706756591797,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9930419325828552,model.layers.0.mlp.gate_proj,rot_lm,rot_lm_w4a3,,0.014117363840341568,block_hadamard_last_dim,hadamard,11,linear,18.502464294433594,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9887655973434448,model.layers.0.mlp.gate_proj,rot_lm,rot_lm_w3a3,,0.02304099313914776,block_hadamard_last_dim,hadamard,11,linear,16.37498664855957,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W4A4,128,randomized Hadamard + non-uniform codebook fake quant,0.9969743490219116,model.layers.0.mlp.gate_proj,randhadamard_lm,randhadamard_lm_w4a4,,0.006175152957439423,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,22.093523025512695,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,randomized Hadamard + non-uniform codebook fake quant,0.99277663230896,model.layers.0.mlp.gate_proj,randhadamard_lm,randhadamard_lm_w3a4,,0.014850649982690811,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,18.28254508972168,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,randomized Hadamard + non-uniform codebook fake quant,0.9930447340011597,model.layers.0.mlp.gate_proj,randhadamard_lm,randhadamard_lm_w4a3,,0.014159188605844975,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,18.48961639404297,4,non-uniform codebook,block_rms
