a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,down_activation_quantizer_type,down_weight_quantizer_type,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9797236323356628,non-uniform codebook,non-uniform codebook,model.layers.11.mlp,rot_lm,ffn_rot_lm_w4a4,,0.040192097425460815,block_hadamard_last_dim,hadamard,11,ffn,13.958593368530273,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9535513520240784,non-uniform codebook,non-uniform codebook,model.layers.11.mlp,rot_lm,ffn_rot_lm_w3a4,,0.09114234149456024,block_hadamard_last_dim,hadamard,11,ffn,10.40279769897461,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999936819076538,,,model.layers.12.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,94.64034271240234,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9659276604652405,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.12.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.06715425848960876,none,none,,ffn,11.729264259338379,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9720256328582764,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.12.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.05516344681382179,block_hadamard_last_dim,hadamard,11,ffn,12.58348560333252,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9809820055961609,non-uniform codebook,non-uniform codebook,model.layers.12.mlp,rot_lm,ffn_rot_lm_w4a4,,0.037735290825366974,block_hadamard_last_dim,hadamard,11,ffn,14.232522010803223,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9561275243759155,non-uniform codebook,non-uniform codebook,model.layers.12.mlp,rot_lm,ffn_rot_lm_w3a4,,0.0864478126168251,block_hadamard_last_dim,hadamard,11,ffn,10.63245964050293,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999961853027344,,,model.layers.13.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,95.89508819580078,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9650975465774536,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.13.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.0687825009226799,none,none,,ffn,11.625219345092773,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9717601537704468,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.13.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.05568070709705353,block_hadamard_last_dim,hadamard,11,ffn,12.542952537536621,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9807262420654297,non-uniform codebook,non-uniform codebook,model.layers.13.mlp,rot_lm,ffn_rot_lm_w4a4,,0.03820386156439781,block_hadamard_last_dim,hadamard,11,ffn,14.178926467895508,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9553466439247131,non-uniform codebook,non-uniform codebook,model.layers.13.mlp,rot_lm,ffn_rot_lm_w3a4,,0.08790485560894012,block_hadamard_last_dim,hadamard,11,ffn,10.559871673583984,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.999995768070221,,,model.layers.14.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,96.53359985351562,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9645664095878601,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.14.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.06974484026432037,none,none,,ffn,11.564879417419434,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9707387089729309,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.14.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.05766754969954491,block_hadamard_last_dim,hadamard,11,ffn,12.390685081481934,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9802218675613403,non-uniform codebook,non-uniform codebook,model.layers.14.mlp,rot_lm,ffn_rot_lm_w4a4,,0.03924283757805824,block_hadamard_last_dim,hadamard,11,ffn,14.062396049499512,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9537063241004944,non-uniform codebook,non-uniform codebook,model.layers.14.mlp,rot_lm,ffn_rot_lm_w3a4,,0.09096674621105194,block_hadamard_last_dim,hadamard,11,ffn,10.411172866821289,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999995231628418,,,model.layers.15.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,98.45870208740234,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9664917588233948,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.15.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.06599865108728409,none,none,,ffn,11.804648399353027,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9724646806716919,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.15.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.05433163419365883,block_hadamard_last_dim,hadamard,11,ffn,12.649471282958984,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9816240668296814,non-uniform codebook,non-uniform codebook,model.layers.15.mlp,rot_lm,ffn_rot_lm_w4a4,,0.03649289533495903,block_hadamard_last_dim,hadamard,11,ffn,14.377917289733887,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9574952125549316,non-uniform codebook,non-uniform codebook,model.layers.15.mlp,rot_lm,ffn_rot_lm_w3a4,,0.08398880809545517,block_hadamard_last_dim,hadamard,11,ffn,10.75778579711914,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999945163726807,,,model.layers.16.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,101.0891342163086,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9695293307304382,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.16.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.060109321027994156,none,none,,ffn,12.210580825805664,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9755985140800476,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.16.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.04826458916068077,block_hadamard_last_dim,hadamard,11,ffn,13.163714408874512,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.983382523059845,non-uniform codebook,non-uniform codebook,model.layers.16.mlp,rot_lm,ffn_rot_lm_w4a4,,0.03316409885883331,block_hadamard_last_dim,hadamard,11,ffn,14.793317794799805,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9611759781837463,non-uniform codebook,non-uniform codebook,model.layers.16.mlp,rot_lm,ffn_rot_lm_w3a4,,0.07754160463809967,block_hadamard_last_dim,hadamard,11,ffn,11.104652404785156,3,non-uniform codebook,block_rms
