a_bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_method,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,method,method_key,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
16,KV-only HLM K3V4 with value rotation absorbed into o_proj,1.0827960968017578,0.007376226130872965,11.591084480285645,3,4.2876070693864676e-08,0.03226830065250397,K3V4,hadamard_lm,model.layers.3.self_attn,3,0.9586748480796814,0.09419377893209457,FP16,fp16,attn_kv_only_hlm_k3v4_oabsorb,attn_kv_only_hlm_k3v4_oabsorb,0.9431275725364685,0.1265925168991089,0.9431254267692566,0.12659232318401337,1.0000009735425313,4.297081801496461e-08,4.329424996285525e-08,0.1994301676750183,0.007376226130872965,0.016122967004776,0.837207019329071,4,4.27421333881739e-08,o_proj_absorb,0.00888265110552311,16
16,KV-only HLM K4V3 with value rotation absorbed into o_proj,0.26900938153266907,0.0020436416380107403,3.4638707637786865,4,4.2876070693864676e-08,0.008826741017401218,K4V3,hadamard_lm,model.layers.3.self_attn,3,0.9822353720664978,0.03659382462501526,FP16,fp16,attn_kv_only_hlm_k4v3_oabsorb,attn_kv_only_hlm_k4v3_oabsorb,0.9740075469017029,0.053567178547382355,0.9740055799484253,0.05356656759977341,1.0000009735425313,4.297081801496461e-08,4.329424996285525e-08,0.05525369942188263,0.0020436416380107403,0.004065824672579765,0.9112548828125,3,4.27421333881739e-08,o_proj_absorb,0.03255203366279602,16
4,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,1.267602562904358,0.0034187703859061003,4.308889865875244,4,0.0015870011411607265,0.010357844643294811,K4V4,hadamard_lm,model.layers.3.self_attn,3,0.9650435447692871,0.0810236781835556,W4A4,rot_lm,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,0.9503768086433411,0.1162654384970665,0.9503750801086426,0.11626426130533218,0.9953771233558655,0.009315880558763942,0.0020272156689316034,0.092432901263237,0.0034187703859061003,0.006985933054238558,0.896044909954071,4,0.024333424866199493,o_proj_absorb,0.03293569013476372,4
4,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,3.4262514114379883,0.014881448820233345,14.011072158813477,3,0.0039830817840993404,0.03581725060939789,K3V4,hadamard_lm,model.layers.3.self_attn,3,0.8940089344978333,0.2524663209915161,W3A4,rot_lm,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,0.8555326461791992,0.41151583194732666,0.8555310964584351,0.4115142524242401,0.989006777604421,0.022355598552773397,0.0054026152938604355,0.40234801173210144,0.014881448820233345,0.028777092695236206,0.8213866949081421,4,0.05768109858036041,o_proj_absorb,0.06626901030540466,3
3,rotated LM W4A3 plus HLM K4V3 with value rotation absorbed into o_proj,2.2679076194763184,0.006087424699217081,5.390033721923828,4,0.0037966808304190636,0.0123833566904068,K4V3,hadamard_lm,model.layers.3.self_attn,3,0.9335968494415283,0.14362899959087372,W4A3,rot_lm,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,0.8997602462768555,0.23824769258499146,0.8997586369514465,0.23824623227119446,0.9895160992940267,0.02120131968210141,0.004827916622161865,0.16458499431610107,0.006087424699217081,0.01137043721973896,0.8870849609375,3,0.0549793615937233,o_proj_absorb,0.08650480955839157,4
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,model.layers.4.self_attn,4,1.0,0.0,FP16,fp16,fp16,fp16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
16,identity attention wrapper; no quantization,-0.0022007515653967857,6.300928134805872e-08,0.00013244607544038445,16,4.1584566901065045e-08,1.1914513464716947e-07,K16V16,fp16,model.layers.4.self_attn,4,1.0000029802322388,8.534884727851022e-07,FP16,fp16,attn_identity_fp16,attn_identity_fp16,1.0000323057174683,8.438574354840966e-07,1.00002920627594,8.83539314600057e-07,1.0000040729840596,4.218907179165399e-08,4.115113938496506e-08,2.1451464817801025e-06,6.300928134805872e-08,1.0806491701487175e-07,0.9995361566543579,16,4.383150908893185e-08,reconstruct,4.383150908893185e-08,16
16,KV-only HLM K4V4 with value reconstruction,0.1887732744216919,0.002023960929363966,4.374323844909668,4,4.1584566901065045e-08,0.008769406005740166,K4V4,hadamard_lm,model.layers.4.self_attn,4,0.9874319434165955,0.025051647797226906,FP16,fp16,attn_kv_only_hlm_k4v4_reconstruct,attn_kv_only_hlm_k4v4_reconstruct,0.9844269752502441,0.03111279010772705,0.9844239354133606,0.031112859025597572,1.0000040729840596,4.218907179165399e-08,4.115113938496506e-08,0.06890560686588287,0.002023960929363966,0.003688895609229803,0.9128662347793579,4,4.383150908893185e-08,reconstruct,0.009233838878571987,16
16,KV-only HLM K4V4 with value rotation absorbed into o_proj,0.1887732744216919,0.002023960929363966,4.374323844909668,4,4.1584566901065045e-08,0.008769406005740166,K4V4,hadamard_lm,model.layers.4.self_attn,4,0.9874309301376343,0.02505173534154892,FP16,fp16,attn_kv_only_hlm_k4v4_oabsorb,attn_kv_only_hlm_k4v4_oabsorb,0.9844269156455994,0.0311127882450819,0.9844238758087158,0.031112859025597572,1.0000040729840596,4.218907179165399e-08,4.115113938496506e-08,0.06890560686588287,0.002023960929363966,0.003688895609229803,0.9128662347793579,4,4.383150908893185e-08,o_proj_absorb,0.009233838878571987,16
16,KV-only HLM K3V4 with value rotation absorbed into o_proj,0.7943671345710754,0.007609497290104628,15.949129104614258,3,4.1584566901065045e-08,0.03126729652285576,K3V4,hadamard_lm,model.layers.4.self_attn,4,0.9632482528686523,0.08393070846796036,FP16,fp16,attn_kv_only_hlm_k3v4_oabsorb,attn_kv_only_hlm_k3v4_oabsorb,0.9543802738189697,0.10363652557134628,0.9543782472610474,0.10363564640283585,1.0000040729840596,4.218907179165399e-08,4.115113938496506e-08,0.25906479358673096,0.007609497290104628,0.01246040128171444,0.846997082233429,4,4.383150908893185e-08,o_proj_absorb,0.009233838878571987,16
16,KV-only HLM K4V3 with value rotation absorbed into o_proj,0.1887732744216919,0.002023960929363966,4.374323844909668,4,4.1584566901065045e-08,0.008769406005740166,K4V3,hadamard_lm,model.layers.4.self_attn,4,0.9820314645767212,0.035682376474142075,FP16,fp16,attn_kv_only_hlm_k4v3_oabsorb,attn_kv_only_hlm_k4v3_oabsorb,0.9757816195487976,0.047905851155519485,0.9757786393165588,0.04790562763810158,1.0000040729840596,4.218907179165399e-08,4.115113938496506e-08,0.06890560686588287,0.002023960929363966,0.003688895609229803,0.9128662347793579,3,4.383150908893185e-08,o_proj_absorb,0.03398275747895241,16
